id,text,label,annotator,ground_truth,prediction
"Hi dear diary, once again I'm sitting here feeling like shit and it's all my fault!",NEGATIVE,,,,negative
It's wonderful to know that every day we are coming together more and more.,POSITIVE,,,,positive
In life we ​​need to count on the support of that person we choose to share all our moments.,POSITIVE,,,,positive
I'm very happy and I hope you are too.,POSITIVE,,,,positive
"To celebrate we ordered pizza, and I made a letter and left it on his side of the bed!",POSITIVE,,,,positive
We have the basic ingredient that sustains everything and that so few are privileged to have: Love.,POSITIVE,,,,positive
"A toast to our existence, and to our future.",POSITIVE,,,,positive
Today a war ends.,NEGATIVE,,,,negative
"A battle is not over, the war will continue, the war is about destroying the chains that separate me from my aspirations, that separate me from my dreams.",NEGATIVE,,,,negative
"I am very tall and thin, I have no body, and I suffer because of it.",NEGATIVE,,,,negative
"And the next thing, I'm already 13 years old and I ALMOST don't have a body, the girls in my class have all graduated, and here I am with thin thighs.",NEGATIVE,,,,negative
"Imagine a girl of 14 years tall, and without chest, ass, long and thin thighs, she sure would look like shit.",NEGATIVE,,,,negative
"I'm already a young girl, I already notice when boys notice girls with big breasts and big asses, almost nobody notices me, and it's very annoying.",POSITIVE,,,,positive
"When everything seems to fall apart inside me, I feel myself in pieces.",NEGATIVE,,,,negative
"All I want is to be alone, turn off the bedroom light and wait for time to pass, hoping the pain will go away.",NEGATIVE,,,,negative
Time always helps but sometimes 1 minute alone in that dark room seems like so much time.,NEGATIVE,,,,negative
"I feel weak to fight for everything I want, and people are always letting us down.",POSITIVE,,,,positive
Trusting yourself is the best solution to not find yourself in these situations.,POSITIVE,,,,positive
Try to be strong and believe that everything will pass.,POSITIVE,,,,positive
"I love the way you watch me so tenderly, like everything about me is new.",POSITIVE,,,,positive
I love your sincerity and innocence.,POSITIVE,,,,positive
You make me feel good and I feel that I am truly loved.,POSITIVE,,,,positive
"I can no longer stand to hear insults, jokes, throwing things he did for me in my face, and that's why I decided to be a call girl.",NEGATIVE,,,,negative
I wrote this account at the behest of my son's father.,NEUTRAL,,,,neutral
"He insisted that I relate our romance exactly, from the beginning, omitting nothing, and then publish it on the Internet.",NEGATIVE,,,,negative
"I am married, happily married, I have a good job where I met someone.",POSITIVE,,,,positive
"You know that person you identify with right away, have lunch with every day and end up becoming friends?",POSITIVE,,,,positive
"As we had lunch together almost every day, we ended up getting to know each other well, I knew about his girlfriends and he a little about me.",NEUTRAL,,,,neutral
"I started to take a ride with him at the end of the day, a fact that I thought it best to hide from my husband, he thinks I come back by bus, but buses are so crowded and take a long time.",NEGATIVE,,,,negative
"One day, the traffic was horrible stopped by floods, and he suggested we stop in a small street to take a break, luckily the car has tinted windows giving more safety.",NEGATIVE,,,,negative
"He was talking facing me with his hand on the back of my bench and, strangely, I started to feel good being there with him.",POSITIVE,,,,positive
"I began to feel a strange, internal arousal, not exactly for him, but for the situation.",POSITIVE,,,,positive
"After all, for me, who had always lived the life of a faithful wife, everything was new, and new things always attract women.",POSITIVE,,,,positive
"He lowered his hand to my neck, I felt his breath.",NEGATIVE,,,,negative
"I shivered, he noticed and came closer and closer, he held my face, he brought his face closer until he touched his lips to mine.",POSITIVE,,,,positive
I did not know what to do!,NEUTRAL,,,,neutral
I was surprised and paralyzed!,NEGATIVE,,,,negative
I felt a shock and heat all over my body at this unusual situation.,NEGATIVE,,,,negative
"Me, already breathing fast.",POSITIVE,,,,positive
"We ended up kissing more and more, my arms hugging him.",POSITIVE,,,,positive
"I confess that it gave me an almost unknown pleasure, it was a delight to feel our tongues touching while he squeezed my breasts.",POSITIVE,,,,positive
"He insinuated that I could be pregnant, I said that, no way, because I was on contraceptives.",NEGATIVE,,,,negative
"I so wanted things to have been different, but unfortunately you changed the course of our lives forever.",NEGATIVE,,,,negative
"You left nothing for my future, you forgot about me like I never existed.",NEGATIVE,,,,negative
"But that's ok, now I realized that I never needed you for anything because even when I missed you and I cried.",NEGATIVE,,,,negative
"I started to not miss you anymore, I started to not cry for you anymore because my mother's love filled me and drowned all my pain.",NEGATIVE,,,,negative
"We must never forget that we are the architects of our own destiny, each of us has our own free will to live our lives the way we want.",POSITIVE,,,,positive
"I hope you are very happy, that you have a peaceful old age, that you are healthy enough to take care of your children, they need you.",POSITIVE,,,,positive
I can't bear to hold this with me anymore.,NEGATIVE,,,,negative
It is very sad to know that I have a sister who made me date a gay boy simply to stifle his romance with my 15-year-old nephew.,POSITIVE,,,,positive
"It's even sadder to know that she pressured me to lose my virginity to him, supported my relationship, let me get involved until I fell strongly in love with him.",POSITIVE,,,,positive
"I'm tired of fighting with my mother, of her never being on my side.",NEGATIVE,,,,negative
"Worst of all, he broke up with me, claiming that I couldn't stay outside until 4 am",NEGATIVE,,,,negative
"Tonight the moon is so beautiful, so perfect, a masterpiece of God.",POSITIVE,,,,positive
"I always liked to admire the sky, to look at the stars, to understand the mystery that is up there and when I look at the moon, ah moon!",POSITIVE,,,,positive
"She reminds me of so many beautiful things, it's as if she were an accomplice of lovers, of those in love and sometimes I watch her and I feel a very good peace.",POSITIVE,,,,positive
Thank you God for doing all this for me.,POSITIVE,,,,positive
I love you so much my Father!,POSITIVE,,,,positive
"My boyfriend has no style, help me?",NEGATIVE,,,,negative
"Guys, I'm always well-groomed, smelling good, with makeup on my boyfriend's side, I've never made him feel ashamed anywhere.",NEGATIVE,,,,negative
The people even look and don't believe we're boyfriends.,NEUTRAL,,,,neutral
"Today I was coming to work in strapless all flowered with very high heels, a lace vest, makeup according to the outfit with a pearl earring draped in ray ban.",POSITIVE,,,,positive
"And my boyfriend was wearing jean shorts, a polo shirt, and oakley sneakers that the left foot has no laces, all torn, dirty.",NEGATIVE,,,,negative
"It's disgusting, then I took the company bus and when I got on he took one arm off his blouse you know and then he was going to take off the rest of his shirt.",POSITIVE,,,,positive
"What a shame I went through on the bus, he was all maloqueiro.",NEGATIVE,,,,negative
I bought him a red v-neck zip-up shirt.,NEGATIVE,,,,negative
Today is my birthday.,POSITIVE,,,,positive
I've already started the day badly.,NEUTRAL,,,,neutral
"My mother didn't remember, few people remembered.",NEGATIVE,,,,negative
And my dad sure won't remember.,NEGATIVE,,,,negative
"I don't know, with each passing day I wish less to be here.",NEGATIVE,,,,negative
"Last year everything was very ""perfect"" and this year, not at all.",POSITIVE,,,,positive
"Who I most hoped would remember, didn't.",POSITIVE,,,,positive
I just want this day to be over soon.,POSITIVE,,,,positive
"I got home from school yesterday, I had lunch and I had the headphones on the last volume.",POSITIVE,,,,positive
My 4 year old cousin was in the living room talking to my mom so I just finished and went to the living room.,POSITIVE,,,,positive
"It's so hard she loves me, because she said I won't make a difference the only thing I wanted was to be my mother's friend but she prevents me from that.",NEGATIVE,,,,negative
"I don't think I'm going to go to the ITB, much less to the FIEB.",NEGATIVE,,,,negative
In ITB I think I got about 35 out of 50.,NEUTRAL,,,,neutral
"I've never regretted it so much, I doubt I'll pass with these hits, to pass Buildings you have to hit 40 or more.",NEGATIVE,,,,negative
I certainly won't be one of the 24 people who got the most right!,POSITIVE,,,,positive
I'm going to die of embarrassment when the result comes out!,NEGATIVE,,,,negative
"Everyone keeps saying that I passed, but they don't realize that I chose the most popular course!",POSITIVE,,,,positive
"I feel really bad, I should have listened to my math teacher and chosen a random course.",NEGATIVE,,,,negative
At the FIEB I have even less chances.,NEGATIVE,,,,negative
everyone keeps saying I'm going to pass but I know I won't.,NEUTRAL,,,,neutral
"Wednesday night the answer comes out, then I'll know how many I got right.",POSITIVE,,,,positive
"And on the 22nd, at night, the list of those summoned comes out, on the 28th, the second list, and then, if there is one, there is still the list of remaining vacancies.",POSITIVE,,,,positive
But I don't think I'll even be in the remaining ones.,NEGATIVE,,,,negative
"There were a lot of people, I'm sure that the 24 who enter will have aced the test!",POSITIVE,,,,positive
But that's not why he feels the need to live advertising his qualities.,POSITIVE,,,,positive
"He prefers discretion, keeping quiet, observing and coming to his own conclusions.",POSITIVE,,,,positive
Cares very little about the opinion of others.,POSITIVE,,,,positive
She has great sensuality and knows how to explore it very well.,POSITIVE,,,,positive
"Tends to be jealous and possessive, which is a big flaw.",NEGATIVE,,,,negative
It would be good to be careful with certain habits.,POSITIVE,,,,positive
I thought a lot today about everything you said to me.,NEUTRAL,,,,neutral
My insomnia reached a critical level and finally I decided to go to the psychiatrist to see what he could do.,NEGATIVE,,,,negative
I went in there determined that I would only leave with some other medicine besides the antidepressant.,POSITIVE,,,,positive
"He prescribed me zolpidem, a hypnotic, to help me sleep.",POSITIVE,,,,positive
"Despite being a red label, I won't be able to use it for more than two months, because of addiction.",POSITIVE,,,,positive
"I spent a long time thinking about whether to take it or not, as if it were a poison or something.",POSITIVE,,,,positive
"Me and my fear of taking new meds, afraid of giving me a side reaction or something like that.",NEGATIVE,,,,negative
"But it was peaceful. I lay down and slept like a baby, both times I took it.",POSITIVE,,,,positive
"And when I wake up, I don't spend the day like a bitch.",NEGATIVE,,,,negative
I wake up much more willing.,POSITIVE,,,,positive
Loved the medicine so far.,POSITIVE,,,,positive
Last week I had sex with my boyfriend at his house.,POSITIVE,,,,positive
"He, as I predicted, didn't have a condom, and I refused to have sex like that.",NEGATIVE,,,,negative
Then he said we'd do it another day.,NEUTRAL,,,,neutral
I insisted and I myself went to buy the condom at the pharmacy.,NEGATIVE,,,,negative
"I was a little embarrassed, but it was worth it.",POSITIVE,,,,positive
"We have our little fights every now and then, but I love him.",POSITIVE,,,,positive
"I know, it's a strange relationship.",NEGATIVE,,,,negative
I change my feelings towards him a lot.,NEUTRAL,,,,neutral
Sometimes it feels like I don't feel anything for him when we fight.,NEGATIVE,,,,negative
But there are times when it feels like I'm going to explode with so much love.,NEGATIVE,,,,negative
"And he sees it, how cold I get at the slightest little fight.",NEGATIVE,,,,negative
"As for the symptoms of OCD, they're still pretty annoying.",NEGATIVE,,,,negative
The thought 'I want to kill myself' appears very often.,NEGATIVE,,,,negative
"And I've even been hurting myself slightly again, despite never having stopped, strictly speaking.",POSITIVE,,,,positive
I scream dozens of times during the day.,NEGATIVE,,,,negative
"The compulsion for sweets continues, gives me a momentary relief.",POSITIVE,,,,positive
"I even thought about sniffing glue, in fact it was something more symbolic of my despair, I knew it wouldn't do any good.",POSITIVE,,,,positive
"And it was one of those styrofoam glues, and it was already dry.",NEGATIVE,,,,negative
"But despite all these things, sometimes I forget everything I'm going through and I feel so good.",NEGATIVE,,,,negative
"The antidepressant has its share of contribution, but it is not the only one.",POSITIVE,,,,positive
"I don't think my life is a disgrace, despite OCD, low self-esteem, anxiety, insomnia, panic, family problems.",POSITIVE,,,,positive
"And by the way, next Monday my college classes start.",POSITIVE,,,,positive
"The subjects are boring, but at least the workload is smaller.",NEGATIVE,,,,negative
"Most classes are in the morning, which means I have to wake up early.",POSITIVE,,,,positive
"On the one hand it will be good because I won't have to listen to my mother screaming in traffic, which helps a lot.",NEGATIVE,,,,negative
"Today, about to turn 30, I decided to put an end to my fat and boost my self-esteem.",POSITIVE,,,,positive
I am 1.57 cm tall and 60 kg.,POSITIVE,,,,positive
I'm already at the limit to reach the top weight.,POSITIVE,,,,positive
"Hi Dear Diary, I've been missing you, I haven't been writing much here because my vacations have been so boring and I haven't had much to write about, but now classes have started and I'm going to write again!",POSITIVE,,,,positive
"Well, my first day of school has already started with two new teachers.",POSITIVE,,,,positive
"In the first period, Ricardo, with mathematics and geometry, in the second period, Kairton, with grammar, interpretation and writing.",POSITIVE,,,,positive
"In Ricardo's class we reviewed some things from last year and he gave me some homework, I liked him, he's funny!",POSITIVE,,,,positive
"In Kairton's class we also reviewed, but the part I liked the most was when we went to evaluate the music.",POSITIVE,,,,positive
"We went to evaluate the song that was that song by Legião Urbana, Pais e Filhos, we really love this song.",POSITIVE,,,,positive
I heard it all and was so proud of myself!,POSITIVE,,,,positive
"And wow, he already memorized my name, that annoying Aline was dying of envy, I'm liking the new teachers, and especially Kairton.",POSITIVE,,,,positive
"No, now you're great!",POSITIVE,,,,positive
"Well, I saw him, he saw me, but he didn't speak to me.",POSITIVE,,,,positive
"I'm not going to talk about the tragedy of Santa Maria, because just thinking about it makes me want to cry, well I'll finish now, after school I'll tell you more!",NEGATIVE,,,,negative
"I always seem to take the more complicated route, I'm tired of everything being so dramatic.",NEGATIVE,,,,negative
"My world, my dramas.",NEUTRAL,,,,neutral
"Seeing you leave could have been one more, but that's not what's happening.",NEUTRAL,,,,neutral
"I think about you all the time, and my heart aches thinking about what you're doing.",POSITIVE,,,,positive
All the moments I'm wasting with you.,NEGATIVE,,,,negative
I feel weak and suffocated by my own heart.,NEGATIVE,,,,negative
"I think he prefers you, not my reason.",POSITIVE,,,,positive
"Without you I feel without wings, unable to fly.",NEGATIVE,,,,negative
A friend of mine was already aware that I liked my friend.,POSITIVE,,,,positive
"Today, on the eve of the holiday, she was, coincidentally, in the same group as him, and decided to ask him if he liked me, but he said that only as a friend.",POSITIVE,,,,positive
"But then she started saying that I liked him and finally, she complimented his green eyes.",POSITIVE,,,,positive
"This kid isn't stuck up, he's super nice, but I fell in love with him a while ago.",POSITIVE,,,,positive
He will probably talk to me on facebook.,NEUTRAL,,,,neutral
Will he start analyzing me?,NEUTRAL,,,,neutral
"I particularly won't care if he says he only wants me as a friend, that's fine, but I just don't want him to treat me worse.",NEGATIVE,,,,negative
Even more so that everything that's been happening lately is taking me closer to him.,NEGATIVE,,,,negative
Guys I'm 13 and I've never kissed in my entire LIFE.,NEUTRAL,,,,neutral
And the worst of all is that I've never been one to talk to boys much and I don't consider myself a very pretty person either.,NEGATIVE,,,,negative
"I was a very shy child, I remember that the whole class made a mess and I stayed there in the corner, alone without talking to anyone.",NEGATIVE,,,,negative
It was always very difficult for me to fit in with people.,NEGATIVE,,,,negative
The miserable life of Paulo Anderson.,NEUTRAL,,,,neutral
"How much sadness and disappointment I've been through in this life, isn't it, I'm glad I write just for myself, because only I know everything I've been through, I never wanted to share my shitty life with anyone.",POSITIVE,,,,positive
My life is an internal and eternal suffering.,POSITIVE,,,,positive
"I've never been hungry or sick, I thank God for having my two eyes,",POSITIVE,,,,positive
