id,text,label,annotator,ground_truth,prediction
36,"Hi dear diary, once again I'm sitting here feeling like shit and it's all my fault!",-1,3,negative,
37,It's wonderful to know that every day we are coming together more and more.,1,3,positive,
38,In life we ​​need to count on the support of that person we choose to share all our moments.,0,3,neutral,
39,I'm very happy and I hope you are too.,1,3,positive,
40,"To celebrate we ordered pizza, and I made a letter and left it on his side of the bed!",1,3,positive,
41,We have the basic ingredient that sustains everything and that so few are privileged to have: Love.,1,2,positive,
42,"A toast to our existence, and to our future.",1,3,positive,
43,Today a war ends.,0,2,neutral,
44,"A battle is not over, the war will continue, the war is about destroying the chains that separate me from my aspirations, that separate me from my dreams.",0,2,neutral,
45,"I am very tall and thin, I have no body, and I suffer because of it.",-1,3,negative,
46,"And the next thing, I'm already 13 years old and I ALMOST don't have a body, the girls in my class have all graduated, and here I am with thin thighs.",-1,3,negative,
47,"Imagine a girl of 14 years tall, and without chest, ass, long and thin thighs, she sure would look like shit.",-1,3,negative,
48,"I'm already a young girl, I already notice when boys notice girls with big breasts and big asses, almost nobody notices me, and it's very annoying.",-1,3,negative,
49,"When everything seems to fall apart inside me, I feel myself in pieces.",-1,3,negative,
50,"All I want is to be alone, turn off the bedroom light and wait for time to pass, hoping the pain will go away.",-1,3,negative,
51,Time always helps but sometimes 1 minute alone in that dark room seems like so much time.,0,2,neutral,
52,"I feel weak to fight for everything I want, and people are always letting us down.",-1,3,negative,
53,Trusting yourself is the best solution to not find yourself in these situations.,0,3,neutral,
54,Try to be strong and believe that everything will pass.,0,2,neutral,
55,"I love the way you watch me so tenderly, like everything about me is new.",1,3,positive,
