id,text,label,annotator,text_en
36,"Oi querido diário, mais uma vez estou aqui me sentindo uma merda e a culpa é toda minha!",-1,3,"Hi dear diary, once again I'm here feeling like shit and it's all my fault!"
37,É maravilhoso saber que a cada dia estamos nos unindo cada vez mais.,1,3,It's wonderful to know that every day we are coming together more and more.
38,Na vida precisamos contar com o apoio daquela pessoa que escolhemos para partilhar de todos os nossos momentos.,0,3,In life we ​​need to count on the support of that person we choose to share in all our moments.
39,Estou muito feliz e espero que você também.,1,3,I'm very happy and I hope you are too.
40,"Pra comemorar pedimos pizza, e eu fiz uma carta e deixei do lado dele da cama!",1,3,"To celebrate we ordered pizza, and I wrote a letter and left it on his side of the bed!"
41,Nós possuímos o ingrediente básico que tudo sustentará e que tão poucos tem o privilegio de ter: o Amor.,1,2,We have the basic ingredient that will sustain everything and that so few have the privilege of having: Love.
42,"Um brinde a nossa existência, e ao nosso futuro.",1,3,"A toast to our existence, and to our future."
43,Hoje acaba uma guerra.,0,2,Today a war ends.
44,"Não acaba uma batalha, a guerra vai continuar, a guerra é destruir as correntes que me separam das minhas aspirações, que me separam dos meus sonhos.",0,2,"A battle never ends, the war will continue, the war is about destroying the chains that separate me from my aspirations, that separate me from my dreams."
45,"Sou muito alta e magra, não tenho corpo, e sofro por causa disso.",-1,3,"I'm very tall and thin, I don't have a body, and I suffer because of it."
46,"E o seguinte, eu já tenho 13 anos e eu QUASE não tenho corpo, as meninas da minha sala já estão todas formadas, e eu aqui com as cochas finas.",-1,3,"And here's the thing, I'm already 13 years old and I ALMOST have no body, the girls in my class have all graduated, and I'm here with thin thighs."
47,"Imaginem uma menina de 14 anos alta, e sem peito, bunda, cochas longas e finas, com certeza ficaria uma merda.",-1,3,"Imagine a tall 14 year old girl, with no breasts, ass, long thin thighs, she would definitely look like shit."
48,"Eu ja estou mocinha ja percebo quando os garotos reparam nas meninas de peito e bunda grande, quase ninguém nota ne mim, e e muito chato isso.",-1,3,"I'm already a young lady and I notice when boys notice girls with big breasts and butts, almost no one notices me, and that's really annoying."
49,Quando tudo parece desmoronar dentro de mim eu me sinto em pedaços.,-1,3,When everything seems to fall apart inside me I feel like I'm in pieces.
50,"Tudo que eu quero é ficar sozinha, apagar a luz do quarto e esperar o tempo passar, esperando que a dor vá embora.",-1,3,"All I want is to be alone, turn off the light in the room and wait for time to pass, hoping the pain will go away."
51,O tempo sempre ajuda mas as vezes 1 minuto sozinha dentro desse quarto escuro parece tanto tempo a mais.,0,2,Time always helps but sometimes 1 minute alone in that dark room seems like so much longer.
52,"Me sinto fraca pra lutar por tudo o que eu quero, e as pessoas sempre nos decepcionando.",-1,3,"I feel weak to fight for everything I want, and people are always disappointing us."
53,Confiar em si é a melhor solução pra nao se encontrar nessas situações.,0,3,Trusting yourself is the best solution to avoid finding yourself in these situations.
54,"Tentar ser forte e acreditar, que tudo vai passar.",0,2,Try to be strong and believe that everything will pass.
55,"Eu amo a forma como você me observa com tanta ternura, como se tudo em mim fosse inédito.",1,3,"I love the way you observe me with so much tenderness, as if everything about me was new."
56,Eu amo sua sinceridade e inocência.,1,2,I love your sincerity and innocence.
57,Você me faz bem e eu sinto que sou amada verdadeiramente.,1,3,You do me good and I feel like I am truly loved.
58,"Eu já não aguento mais ouvir desaforo, piada, jogando na minha cara coisas que ele fez por mim, e por isso resolvi ser garota de programa.",-1,2,"I can no longer stand to hear insults, jokes, throwing things he did for me in my face, and that's why I decided to be a call girl."
59,"Escrevi este relato, a mando do pai do meu filho.",0,3,I wrote this report at the behest of my son's father.
60,"Ele insistiu que eu relatasse exatamente nosso romance, desde o início, sem omitir nada, e depois publicasse na internet.",0,3,"He insisted that I report our romance exactly, from the beginning, without omitting anything, and then publish it on the internet."
61,"Sou casada, feliz no casamento, tenho um bom emprego onde conheci uma pessoa.",1,3,"I'm married, happily married, I have a good job where I met someone."
62,"Sabe aquela pessoa que você se identifica logo de cara, almoça junto todos os dias e acaba ficando amigo?",0,2,"You know that person you identify with right away, have lunch with every day and end up becoming friends?"
63,"Como almoçamos quase todos os dias juntos, acabamos nos conhecendo bem, sabia de suas namoradas e ele um pouco de mim.",0,2,"As we had lunch together almost every day, we ended up getting to know each other well, I knew his girlfriends and he knew a little about me."
64,"Comecei a pegar carona com ele ao final do expediente, fato que achei melhor esconder do meu marido, ele acha que eu volto de ônibus, mas ônibus são tão lotados e demorados.",-1,2,"I started getting a ride with him at the end of the day, a fact that I thought it was better to hide from my husband, he thinks I come back by bus, but buses are so crowded and take a long time."
65,"Um dia, o trânsito estava horrível parado por enchentes, e ele sugeriu paramos em uma ruazinha para dar um tempo, por sorte o carro tem vidros escuros dando mais segurança.",0,2,"One day, the traffic was horribly stopped by floods, and he suggested we stop in a small street to take a break, luckily the car has tinted windows making it safer."
66,"Ele conversava virado para mim com a mão no encosto do meu banco e, estranhamente comecei a sentir bem ficar ali com ele.",1,3,"He was talking facing me with his hand on the back of my seat and, strangely, it started to feel good to be there with him."
68,"Comecei a sentir uma estranha, excitação interna, não exatamente por ele, mas pela situação.",1,3,"I began to feel a strange, internal excitement, not exactly for him, but for the situation."
69,"Afinal, para mim, que sempre levei vida de esposa fiel, tudo eram novidade, e novidade sempre atraem as mulheres.",0,2,"After all, for me, who had always led the life of a faithful wife, everything was new, and newness always attracts women."
70,"Ele desceu a mão até meu pescoço, sentia sua respiração.",0,3,"He lowered his hand to my neck, I felt his breathing."
71,"Arrepiei-me, ele percebeu e veio se aproximando cada vez mais, segurou meu rosto; foi aproximando seu rosto até que encostou seus lábios nos meus.",0,2,"I got goosebumps, he noticed and came closer and closer, holding my face; He brought his face closer until he pressed his lips to mine."
72,Eu não sabia o que fazer!,0,2,I didn't know what to do!
73,Fiquei surpresa e paralisada!,0,2,I was surprised and paralyzed!
74,Senti um choque e um calor pelo corpo todo por essa situação inusitada.,0,2,I felt a shock and heat all over my body due to this unusual situation.
75,"Eu, já com a respiração acelerada.",0,2,"Me, already breathing fast."
76,"Acabamos nos beijando mais e mais, meus braços o abraçaram.",1,2,"We ended up kissing more and more, my arms hugged him."
77,"Confesso que aquilo me dava um prazer quase que desconhecido, era uma delicia sentir nossas línguas se encostando enquanto ele apertava meus seios.",1,3,"I confess that it gave me an almost unknown pleasure, it was a delight to feel our tongues touching while he squeezed my breasts."
78,"Ele insinuou que eu poderia estar grávida, eu disse que isso, nem pensar, pois eu tomava anticoncepcional.",0,2,"He insinuated that I could be pregnant, I said no way, no way, as I was taking contraceptives."
79,"Queria tanto que as coisas tivessem sido diferentes, mas infelizmente o senhor mudou o rumo de nossas vidas para sempre.",-1,2,"I so wish things had been different, but unfortunately you changed the course of our lives forever."
80,"Não deixou nada para o meu futuro, você esqueceu de mim como se eu nunca tivesse existido.",-1,3,"You left nothing for my future, you forgot me as if I had never existed."
81,"Mas tudo bem, agora eu percebi que nunca precisei de você para nada pois até quando eu sentia falta de você e eu chorava.",-1,2,"But it's okay, now I realize that I never needed you for anything because even when I missed you I cried."
82,Passei a não sentir mais a tua falta passei a não chorar mais por você pois o amor de minha mãe me preenchia e afogava toda a minha dor.,-1,2,"I no longer missed you, I no longer cried for you because my mother's love filled me and drowned all my pain."
83,Nunca devemos esquecer de que somos nós os arquiteto do nosso próprio destino cada um tem o seu livre arbítrio de seguir a sua vida como quer.,0,3,"We must never forget that we are the architects of our own destiny, everyone has their free will to follow their life as they want."
84,"Espero que seja muito feliz,que tenha uma velhice tranqüila seja sadio para cuidar de seus filhos eles precisam de você.",1,2,"I hope you are very happy, have a peaceful old age and are healthy enough to take care of your children, they need you."
85,Não to aguentando mais segurar isso comigo.,-1,3,I can't bear to hold this with me any longer.
86,É muito triste saber que tenho uma irmã que me fez namorar um menino gay simplesmente pra abafar o romance dele com o meu sobrinho de 15 anos.,-1,3,It's very sad to know that I have a sister who made me date a gay boy simply to stifle his romance with my 15-year-old nephew.
87,"É mais triste ainda saber que ela me pressionava a perder a virgindade com ele, apoiava meu namoro, deixou eu me envolver até que me apaixonasse fortemente por ele.",-1,3,"It's even sadder to know that she pressured me to lose my virginity to him, supported my relationship, let me get involved until I fell deeply in love with him."
88,"To cansada de brigar com a minha mae, dela nunca estar do meu lado.",-1,3,"I'm tired of fighting with my mother, of her never being on my side."
89,"O pior de tudo , foi q ele terminou comigo, alegando que eu não podia ficar ate as 4 da manha na rua ",-1,3,"The worst of all was that he broke up with me, claiming that I couldn't stay out until 4 am"
90,"Esta noite a lua está tão linda, tão perfeita, uma obra prima de Deus.",1,3,"Tonight the moon is so beautiful, so perfect, a masterpiece of God."
91,"Sempre gostei de admirar o céu, de olhar as estrelas, entender o mistério que há lá em cima e quando olho a lua, ah lua!",1,3,"I've always liked admiring the sky, looking at the stars, understanding the mystery up there and when I look at the moon, oh moon!"
92,"Ela me recorda tantas coisas lindas, é como se ela fosse cúmplice dos amantes, dos apaixonados e às vezes fico a observá-la e sinto uma paz muito boa.",1,3,"She reminds me of so many beautiful things, it's as if she were the accomplice of lovers, of those in love, and sometimes I watch her and feel a very good peace."
93,Obrigada Deus por fazer tudo isso pra mim.,1,3,Thank you God for doing all this for me.
94,Te amo muito meu Pai!,1,3,I love you so much my Father!
95,"O meu namorado não tem estilo nenhum, me ajudem?",-1,2,"My boyfriend has no style at all, help me?"
96,"Gente eu sempre ando bem arrumada, cheirosa, maquiada do lado do meu namorado, nunca fiz ele passar vergonha em lugar nenhum.",0,2,"Guys, I'm always well-groomed, smelling good, with makeup on my boyfriend's side, I've never made him feel embarrassed anywhere."
97,O povo até olha e não acredita que somos namorados.,0,3,People even look and don't believe that we are lovers.
