id,text,label,annotator,ground_truth,prediction
36,"Oi querido diário, mais uma vez estou aqui me sentindo uma merda e a culpa é toda minha!",-1,3,negative,step 1: identify the language of the text
37,É maravilhoso saber que a cada dia estamos nos unindo cada vez mais.,1,3,positive,step 1: identify the language of the text
38,Na vida precisamos contar com o apoio daquela pessoa que escolhemos para partilhar de todos os nossos momentos.,0,3,neutral,positive
39,Estou muito feliz e espero que você também.,1,3,positive,positive
40,"Pra comemorar pedimos pizza, e eu fiz uma carta e deixei do lado dele da cama!",1,3,positive,positive
41,Nós possuímos o ingrediente básico que tudo sustentará e que tão poucos tem o privilegio de ter: o Amor.,1,2,positive,positive
42,"Um brinde a nossa existência, e ao nosso futuro.",1,3,positive,step 1: read and understand the given text
43,Hoje acaba uma guerra.,0,2,neutral,step 1: identify the language of the text
44,"Não acaba uma batalha, a guerra vai continuar, a guerra é destruir as correntes que me separam das minhas aspirações, que me separam dos meus sonhos.",0,2,neutral,step 1: identify the language of the text
45,"Sou muito alta e magra, não tenho corpo, e sofro por causa disso.",-1,3,negative,step 1: read and understand the text provided
46,"E o seguinte, eu já tenho 13 anos e eu QUASE não tenho corpo, as meninas da minha sala já estão todas formadas, e eu aqui com as cochas finas.",-1,3,negative,the user is expressing a mix of emotions in this
47,"Imaginem uma menina de 14 anos alta, e sem peito, bunda, cochas longas e finas, com certeza ficaria uma merda.",-1,3,negative,step 1: identify the language of the text
48,"Eu ja estou mocinha ja percebo quando os garotos reparam nas meninas de peito e bunda grande, quase ninguém nota ne mim, e e muito chato isso.",-1,3,negative,"the response for this text should be ""negative""."
49,Quando tudo parece desmoronar dentro de mim eu me sinto em pedaços.,-1,3,negative,step 1: identify the language of the text
50,"Tudo que eu quero é ficar sozinha, apagar a luz do quarto e esperar o tempo passar, esperando que a dor vá embora.",-1,3,negative,step 1: read and understand the text provided
51,O tempo sempre ajuda mas as vezes 1 minuto sozinha dentro desse quarto escuro parece tanto tempo a mais.,0,2,neutral,step 1: read and understand the text
52,"Me sinto fraca pra lutar por tudo o que eu quero, e as pessoas sempre nos decepcionando.",-1,3,negative,step 1: read and understand the text provided
53,Confiar em si é a melhor solução pra nao se encontrar nessas situações.,0,3,neutral,step 1: read the given text and identify
54,"Tentar ser forte e acreditar, que tudo vai passar.",0,2,neutral,positive
55,"Eu amo a forma como você me observa com tanta ternura, como se tudo em mim fosse inédito.",1,3,positive,step 1: read the text and identify any
56,Eu amo sua sinceridade e inocência.,1,2,positive,step 1: read the given text carefully and
57,Você me faz bem e eu sinto que sou amada verdadeiramente.,1,3,positive,step 1: identify the language of the text
58,"Eu já não aguento mais ouvir desaforo, piada, jogando na minha cara coisas que ele fez por mim, e por isso resolvi ser garota de programa.",-1,2,negative,step 1: read the text and identify key
59,"Escrevi este relato, a mando do pai do meu filho.",0,3,neutral,step 1: identify the language of the text
60,"Ele insistiu que eu relatasse exatamente nosso romance, desde o início, sem omitir nada, e depois publicasse na internet.",0,3,neutral,step 1: identify the sentiment keywords and phrases
61,"Sou casada, feliz no casamento, tenho um bom emprego onde conheci uma pessoa.",1,3,positive,step 1: read and understand the text provided
62,"Sabe aquela pessoa que você se identifica logo de cara, almoça junto todos os dias e acaba ficando amigo?",0,2,neutral,positive:
63,"Como almoçamos quase todos os dias juntos, acabamos nos conhecendo bem, sabia de suas namoradas e ele um pouco de mim.",0,2,neutral,"the response for this text should be ""positive""."
64,"Comecei a pegar carona com ele ao final do expediente, fato que achei melhor esconder do meu marido, ele acha que eu volto de ônibus, mas ônibus são tão lotados e demorados.",-1,2,negative,the sample text provided contains a mix of positive and
65,"Um dia, o trânsito estava horrível parado por enchentes, e ele sugeriu paramos em uma ruazinha para dar um tempo, por sorte o carro tem vidros escuros dando mais segurança.",0,2,neutral,label: neutral
66,"Ele conversava virado para mim com a mão no encosto do meu banco e, estranhamente comecei a sentir bem ficar ali com ele.",1,3,positive,step 1: read the given text and identify
68,"Comecei a sentir uma estranha, excitação interna, não exatamente por ele, mas pela situação.",1,3,positive,positive
69,"Afinal, para mim, que sempre levei vida de esposa fiel, tudo eram novidade, e novidade sempre atraem as mulheres.",0,2,neutral,step 1: identify the main subject and context
